nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 42/100 | Train Acc: 97.53% | Val Acc: 96.51%
Epoch 43/100 | Train Acc: 97.51% | Val Acc: 96.17%
Epoch 44/100 | Train Acc: 97.61% | Val Acc: 96.67%
Epoch 45/100 | Train Acc: 97.61% | Val Acc: 96.74%
Epoch 46/100 | Train Acc: 97.66% | Val Acc: 97.04%
Epoch 47/100 | Train Acc: 97.68% | Val Acc: 96.59%
Epoch 48/100 | Train Acc: 97.70% | Val Acc: 96.86%
Epoch 49/100 | Train Acc: 97.74% | Val Acc: 96.79%
Epoch 50/100 | Train Acc: 97.79% | Val Acc: 96.69%
Epoch 51/100 | Train Acc: 97.80% | Val Acc: 96.86%
Epoch 52/100 | Train Acc: 97.88% | Val Acc: 97.16%
Epoch 53/100 | Train Acc: 97.91% | Val Acc: 97.09%
Epoch 54/100 | Train Acc: 97.92% | Val Acc: 96.73%
Epoch 55/100 | Train Acc: 97.97% | Val Acc: 97.09%
Epoch 56/100 | Train Acc: 97.98% | Val Acc: 97.19%
Epoch 57/100 | Train Acc: 98.05% | Val Acc: 96.96%
Epoch 58/100 | Train Acc: 98.08% | Val Acc: 97.26%
Epoch 59/100 | Train Acc: 98.14% | Val Acc: 97.01%
Epoch 60/100 | Train Acc: 98.10% | Val Acc: 97.24%
Epoch 61/100 | Train Acc: 98.12% | Val Acc: 97.21%
Epoch 62/100 | Train Acc: 98.12% | Val Acc: 97.31%
Epoch 63/100 | Train Acc: 98.18% | Val Acc: 97.33%
Epoch 64/100 | Train Acc: 98.20% | Val Acc: 96.79%
Epoch 65/100 | Train Acc: 98.29% | Val Acc: 97.16%
Epoch 66/100 | Train Acc: 98.23% | Val Acc: 96.89%
Epoch 67/100 | Train Acc: 98.25% | Val Acc: 97.10%
Epoch 68/100 | Train Acc: 98.36% | Val Acc: 97.21%
Epoch 69/100 | Train Acc: 98.39% | Val Acc: 97.27%
Epoch 70/100 | Train Acc: 98.34% | Val Acc: 97.41%
Epoch 71/100 | Train Acc: 98.43% | Val Acc: 97.31%
Epoch 72/100 | Train Acc: 98.39% | Val Acc: 97.36%
Epoch 73/100 | Train Acc: 98.44% | Val Acc: 97.31%
Epoch 74/100 | Train Acc: 98.41% | Val Acc: 97.23%
Epoch 75/100 | Train Acc: 98.45% | Val Acc: 97.39%
Epoch 76/100 | Train Acc: 98.46% | Val Acc: 97.53%
Epoch 77/100 | Train Acc: 98.45% | Val Acc: 97.29%
Epoch 78/100 | Train Acc: 98.49% | Val Acc: 97.34%
Epoch 79/100 | Train Acc: 98.51% | Val Acc: 97.37%
Epoch 80/100 | Train Acc: 98.53% | Val Acc: 97.44%
Epoch 81/100 | Train Acc: 98.59% | Val Acc: 97.41%
Epoch 82/100 | Train Acc: 98.60% | Val Acc: 97.56%
Epoch 83/100 | Train Acc: 98.56% | Val Acc: 97.37%
Epoch 84/100 | Train Acc: 98.59% | Val Acc: 97.53%
Epoch 85/100 | Train Acc: 98.66% | Val Acc: 97.46%
Epoch 86/100 | Train Acc: 98.66% | Val Acc: 97.56%
Epoch 87/100 | Train Acc: 98.66% | Val Acc: 97.09%
Epoch 88/100 | Train Acc: 98.67% | Val Acc: 97.44%
Epoch 89/100 | Train Acc: 98.71% | Val Acc: 97.43%
Epoch 90/100 | Train Acc: 98.72% | Val Acc: 97.67%
Epoch 91/100 | Train Acc: 98.73% | Val Acc: 97.49%
Epoch 92/100 | Train Acc: 98.78% | Val Acc: 97.53%
Epoch 93/100 | Train Acc: 98.75% | Val Acc: 97.30%
Epoch 94/100 | Train Acc: 98.77% | Val Acc: 97.56%
Early stopping at epoch 94.
[N_MNIST RESULTS] Top-1 Test Acc: 97.87%

Training TCASL (13000 samples, 26 classes)...
Epoch 01/100 | Train Acc: 3.95% | Val Acc: 3.54%
Epoch 02/100 | Train Acc: 3.95% | Val Acc: 3.54%
Epoch 03/100 | Train Acc: 3.95% | Val Acc: 3.54%
Epoch 04/100 | Train Acc: 3.80% | Val Acc: 3.46%
Epoch 05/100 | Train Acc: 3.75% | Val Acc: 4.08%
Epoch 06/100 | Train Acc: 3.85% | Val Acc: 3.54%
